기간,기초지자체,중분류,소비액(천원) (내국인),전년동기 소비액 (내국인),소비액(천원) (외국인)
24.10~25.09,경기도,관광총소비,,,6019111.0
24.10~25.09,경기도,관광총소비,,,128007039.0
24.10~25.09,경기도,관광총소비,,,26928729.0
24.10~25.09,경기도,관광총소비,,,8641263.0
24.10~25.09,경기도,관광총소비,,,10973210.0
24.10~25.09,경기도,관광총소비,,,39482643.0
24.10~25.09,경기도,관광총소비,,,17959171.0
24.10~25.09,경기도,관광총소비,,,13663830.0
24.10~25.09,경기도,관광총소비,,,2169741.0
24.10~25.09,경기도,관광총소비,,,4436651.0
24.10~25.09,경기도,관광총소비,,,16064586.0
24.10~25.09,경기도,관광총소비,,,4914697.0
24.10~25.09,경기도,관광총소비,,,12520576.0
24.10~25.09,경기도,관광총소비,,,5072617.0
24.10~25.09,경기도,관광총소비,,,11669090.0
24.10~25.09,경기도,관광총소비,,,10571895.0
24.10~25.09,경기도,관광총소비,,,15729656.0
24.10~25.09,경기도,관광총소비,,,23702027.0
24.10~25.09,경기도,관광총소비,,,10908998.0
24.10~25.09,경기도,관광총소비,,,37492430.0
24.10~25.09,경기도,관광총소비,,,6575894.0
24.10~25.09,경기도,관광총소비,,,15956176.0
24.10~25.09,경기도,관광총소비,,,38166610.0
24.10~25.09,경기도,관광총소비,,,34358363.0
24.10~25.09,경기도,관광총소비,,,5521424.0
24.10~25.09,경기도,관광총소비,,,5555563.0
24.10~25.09,경기도,관광총소비,,,5241263.0
24.10~25.09,경기도,관광총소비,,,34829538.0
24.10~25.09,경기도,관광총소비,,,485517.0
24.10~25.09,경기도,관광총소비,,,7725919.0
24.10~25.09,경기도,관광총소비,,,2394775.0
24.10~25.09,고양시 덕양구,관광총소비,1640840207.0,1648693022.0,
24.10~25.09,고양시 일산동구,관광총소비,1178972041.0,1230868114.0,
24.10~25.09,고양시 일산서구,관광총소비,822430323.0,834825670.0,
24.10~25.09,과천시,관광총소비,201214923.0,183579514.0,
24.10~25.09,광명시,관광총소비,595124853.0,608392364.0,
24.10~25.09,광주시,관광총소비,827695822.0,830167596.0,
24.10~25.09,구리시,관광총소비,654660369.0,657624515.0,
24.10~25.09,군포시,관광총소비,376687619.0,383692772.0,
24.10~25.09,김포시,관광총소비,1405039214.0,1412772703.0,
24.10~25.09,남양주시,관광총소비,1460434986.0,1483606946.0,
24.10~25.09,동두천시,관광총소비,118918379.0,129598549.0,
24.10~25.09,부천시 소사구,관광총소비,383778255.0,536671985.0,
24.10~25.09,부천시 오정구,관광총소비,277845627.0,386321038.0,
24.10~25.09,부천시 원미구,관광총소비,1231052332.0,1223722709.0,
24.10~25.09,성남시 분당구,관광총소비,2632072161.0,2631677498.0,
24.10~25.09,성남시 수정구,관광총소비,621186649.0,637490134.0,
24.10~25.09,성남시 중원구,관광총소비,422347063.0,448999691.0,
24.10~25.09,수원시 권선구,관광총소비,1028932036.0,1036026161.0,
24.10~25.09,수원시 영통구,관광총소비,947404033.0,1026842104.0,
24.10~25.09,수원시 장안구,관광총소비,610187161.0,618519993.0,
24.10~25.09,수원시 팔달구,관광총소비,1300734782.0,1323589729.0,
24.10~25.09,시흥시,관광총소비,1257748755.0,1330808476.0,
24.10~25.09,안산시 단원구,관광총소비,1090775034.0,1130031560.0,
24.10~25.09,안산시 상록구,관광총소비,519877524.0,534080200.0,
24.10~25.09,안성시,관광총소비,1058880125.0,1074177998.0,
24.10~25.09,안양시 동안구,관광총소비,1179091330.0,1215669245.0,
24.10~25.09,안양시 만안구,관광총소비,426651391.0,423367135.0,
24.10~25.09,양주시,관광총소비,635622558.0,645266389.0,
