기간,기준년월,기초지자체,중분류,소비액(천원) (내국인),소비액(천원) (외국인)
22.10~23.09,202308,파주시,기타관광쇼핑,16480163.0,377262.0
22.10~23.09,202308,파주시,기타레저,1754571.0,30993.0
22.10~23.09,202308,파주시,기타숙박,638476.0,81214.0
22.10~23.09,202308,파주시,대형쇼핑몰,28162941.0,1377841.0
22.10~23.09,202308,파주시,레저용품쇼핑,1616634.0,22099.0
22.10~23.09,202308,파주시,렌터카,6107.0,
22.10~23.09,202308,파주시,문화서비스,830204.0,1664.0
22.10~23.09,202308,파주시,뷰티,1346264.0,71131.0
22.10~23.09,202308,파주시,여행업,109025.0,2768.0
22.10~23.09,202308,파주시,육상운송,14133749.0,17306.0
22.10~23.09,202308,파주시,의료관광,225380.0,23563.0
22.10~23.09,202308,파주시,일반외식업,29195910.0,196992.0
22.10~23.09,202308,파주시,제과음료업,7228898.0,47058.0
22.10~23.09,202308,파주시,캠핑장/펜션,83366.0,140.0
22.10~23.09,202308,파주시,호텔,93648.0,5553.0
22.10~23.09,202309,파주시,골프장,11108439.0,39814.0
22.10~23.09,202309,파주시,관광유원시설,436258.0,1828.0
22.10~23.09,202309,파주시,관광총소비,127856888.0,2324124.0
22.10~23.09,202309,파주시,기타관광쇼핑,18686864.0,384514.0
22.10~23.09,202309,파주시,기타레저,1885405.0,44539.0
22.10~23.09,202309,파주시,기타숙박,650486.0,70035.0
22.10~23.09,202309,파주시,대형쇼핑몰,39201765.0,1335063.0
22.10~23.09,202309,파주시,레저용품쇼핑,1676223.0,16986.0
22.10~23.09,202309,파주시,렌터카,6473.0,242.0
22.10~23.09,202309,파주시,문화서비스,465517.0,1191.0
22.10~23.09,202309,파주시,뷰티,1226173.0,91500.0
22.10~23.09,202309,파주시,여행업,74524.0,
22.10~23.09,202309,파주시,육상운송,15277712.0,11692.0
22.10~23.09,202309,파주시,의료관광,279707.0,25947.0
22.10~23.09,202309,파주시,일반외식업,29492181.0,230828.0
22.10~23.09,202309,파주시,제과음료업,7246023.0,44758.0
22.10~23.09,202309,파주시,캠핑장/펜션,45908.0,40.0
22.10~23.09,202309,파주시,호텔,97231.0,25147.0
23.10~24.09,202310,파주시,골프장,11351998.0,80339.0
23.10~24.09,202310,파주시,관광유원시설,583981.0,2365.0
23.10~24.09,202310,파주시,관광총소비,135303826.0,3407982.0
23.10~24.09,202310,파주시,기타관광쇼핑,16559302.0,493968.0
23.10~24.09,202310,파주시,기타레저,2163544.0,44219.0
